Kabupaten,Tahun,Metode,Aktual,Prediksi,MSE,MAPE
KAB ASAHAN,2023,SVR,11.0,7.6429921051541,11.269502006057701,30.51825358950818
KAB ASAHAN,2023,Decision Tree,11.0,15.3,18.490000000000006,39.0909090909091
KAB ASAHAN,2023,Random Forest,11.0,16.5,30.25,50.0
KAB BATU BARA,2023,SVR,17.7,-9.409582046237148,734.9294387216635,153.16148048721553
KAB BATU BARA,2023,Decision Tree,17.7,21.7,16.0,22.598870056497177
KAB BATU BARA,2023,Random Forest,17.7,27.833333333333332,102.68444444444444,57.250470809792844
KAB DAIRI,2023,SVR,32.6,48.719505775516026,259.8384664468945,49.446336734711736
KAB DAIRI,2023,Decision Tree,32.6,34.2,2.5600000000000045,4.907975460122704
KAB DAIRI,2023,Random Forest,32.6,30.46666666666667,4.551111111111109,6.543967280163597
KAB DELI SERDANG,2023,SVR,33.8,21.238620087705982,157.7882653009836,37.16384589436099
KAB DELI SERDANG,2023,Decision Tree,33.8,13.9,396.00999999999993,58.875739644970416
KAB DELI SERDANG,2023,Random Forest,33.8,13.433333333333332,414.80111111111114,60.25641025641026
KAB HUMBANG HASUNDUTAN,2023,SVR,18.4,28.37591437303268,99.51886757808,54.216925940395
KAB HUMBANG HASUNDUTAN,2023,Decision Tree,18.4,26.7,68.89000000000001,45.10869565217392
KAB HUMBANG HASUNDUTAN,2023,Random Forest,18.4,28.633333333333336,104.7211111111112,55.61594202898553
KAB KARO,2023,SVR,24.7,24.70351776891333,1.2374698127590143e-05,0.01424197940619388
KAB KARO,2023,Decision Tree,24.7,24.9,0.039999999999999716,0.8097165991902806
KAB KARO,2023,Random Forest,24.7,25.03333333333333,0.11111111111111033,1.3495276653171342
KAB LABUHAN BATU,2023,SVR,20.2,-6.708547368954061,724.0699215072445,133.21063053937655
KAB LABUHAN BATU,2023,Decision Tree,20.2,23.9,13.689999999999994,18.316831683168314
KAB LABUHAN BATU,2023,Random Forest,20.2,24.933333333333334,22.404444444444454,23.43234323432344
KAB LABUHAN BATU SELATAN,2023,SVR,16.0,25.683923729692438,93.7783788025003,60.524523310577734
KAB LABUHAN BATU SELATAN,2023,Decision Tree,16.0,26.4,108.15999999999997,64.99999999999999
KAB LABUHAN BATU SELATAN,2023,Random Forest,16.0,26.599999999999998,112.35999999999996,66.24999999999999
KAB LABUHAN BATU UTARA,2023,SVR,9.6,16.839622416534585,52.41213273399007,75.4127335055686
KAB LABUHAN BATU UTARA,2023,Decision Tree,9.6,7.3,5.289999999999999,23.958333333333332
KAB LABUHAN BATU UTARA,2023,Random Forest,9.6,15.166666666666664,30.987777777777755,57.98611111111109
KAB LANGKAT,2023,SVR,16.9,-26.431304666053965,1877.6019640623904,256.3982524618578
KAB LANGKAT,2023,Decision Tree,16.9,18.6,2.8900000000000095,10.059171597633155
KAB LANGKAT,2023,Random Forest,16.9,27.2,106.09000000000002,60.94674556213019
KAB MANDAILING NATAL,2023,SVR,20.7,31.67763824947858,120.50854153641515,53.03206883806077
KAB MANDAILING NATAL,2023,Decision Tree,20.7,34.2,182.25000000000009,65.21739130434784
KAB MANDAILING NATAL,2023,Random Forest,20.7,43.20000000000001,506.25000000000045,108.6956521739131
KAB NIAS,2023,SVR,20.3,21.63800087800409,1.790246349539711,6.591137330069399
KAB NIAS,2023,Decision Tree,20.3,25.3,25.0,24.63054187192118
KAB NIAS,2023,Random Forest,20.3,27.566666666666666,52.80444444444443,35.79638752052545
KAB NIAS BARAT,2023,SVR,28.9,28.918189863671326,0.0003308711403814908,0.0629407047450789
KAB NIAS BARAT,2023,Decision Tree,28.9,29.4,0.25,1.7301038062283738
KAB NIAS BARAT,2023,Random Forest,28.9,28.899999999999995,1.262177448353619e-29,1.229312691626471e-14
KAB NIAS SELATAN,2023,SVR,31.8,36.29812830483904,20.233158246794126,14.145057562386915
KAB NIAS SELATAN,2023,Decision Tree,31.8,36.7,24.01000000000002,15.408805031446548
KAB NIAS SELATAN,2023,Random Forest,31.8,30.36666666666667,2.0544444444444347,4.507337526205441
KAB NIAS UTARA,2023,SVR,20.9,-56.188735257727394,5942.673103635982,368.8456232427148
KAB NIAS UTARA,2023,Decision Tree,20.9,11.9,80.99999999999997,43.062200956937794
KAB NIAS UTARA,2023,Random Forest,20.9,26.900000000000002,36.00000000000004,28.708133971291883
KAB PADANG LAWAS,2023,SVR,17.7,-100.50450658924146,13972.305378006027,667.822071125658
KAB PADANG LAWAS,2023,Decision Tree,17.7,35.8,327.6099999999999,102.25988700564972
KAB PADANG LAWAS,2023,Random Forest,17.7,37.86666666666667,406.6944444444445,113.93596986817327
KAB PADANG LAWAS UTARA,2023,SVR,21.8,28.463116536282197,44.39712197607725,30.56475475358805
KAB PADANG LAWAS UTARA,2023,Decision Tree,21.8,29.2,54.75999999999998,33.94495412844036
KAB PADANG LAWAS UTARA,2023,Random Forest,21.8,30.5,75.68999999999998,39.90825688073394
KAB PAKPAK BHARAT,2023,SVR,28.9,69.23486112779044,1626.9010221981403,139.56699352176622
KAB PAKPAK BHARAT,2023,Decision Tree,28.9,40.8,141.60999999999996,41.17647058823529
KAB PAKPAK BHARAT,2023,Random Forest,28.9,37.46666666666666,73.38777777777771,29.64244521337946
KAB SAMOSIR,2023,SVR,22.4,23.744624632410936,1.8080154020862487,6.002788537548828
KAB SAMOSIR,2023,Decision Tree,22.4,26.3,15.210000000000017,17.410714285714295
KAB SAMOSIR,2023,Random Forest,22.4,27.0,21.160000000000014,20.535714285714292
KAB SERDANG BEDAGAI,2023,SVR,14.4,20.790853656199765,40.8430104549619,44.38092816805392
KAB SERDANG BEDAGAI,2023,Decision Tree,14.4,20.0,31.359999999999996,38.888888888888886
KAB SERDANG BEDAGAI,2023,Random Forest,14.4,20.733333333333334,40.11111111111112,43.98148148148148
KAB SIMALUNGUN,2023,SVR,17.7,-18.569934086306308,1315.508118625004,204.91488184353847
KAB SIMALUNGUN,2023,Decision Tree,17.7,17.4,0.09000000000000043,1.6949152542372923
KAB SIMALUNGUN,2023,Random Forest,17.7,24.46666666666667,45.78777777777781,38.22975517890774
KAB TAPANULI SELATAN,2023,SVR,15.6,-26.694404237170787,1788.8166297772102,271.11797587929993
KAB TAPANULI SELATAN,2023,Decision Tree,15.6,39.4,566.4399999999998,152.56410256410254
KAB TAPANULI SELATAN,2023,Random Forest,15.6,36.53333333333333,438.2044444444443,134.18803418803418
KAB TAPANULI TENGAH,2023,SVR,23.8,35.02806391104512,126.0694191905139,47.17673912203833
KAB TAPANULI TENGAH,2023,Decision Tree,23.8,30.5,44.88999999999999,28.151260504201677
KAB TAPANULI TENGAH,2023,Random Forest,23.8,27.03333333333333,10.454444444444428,13.585434173669455
KAB TAPANULI UTARA,2023,SVR,27.4,26.548683410249176,0.7247399359849711,3.106994853105194
KAB TAPANULI UTARA,2023,Decision Tree,27.4,26.7,0.489999999999999,2.554744525547443
KAB TAPANULI UTARA,2023,Random Forest,27.4,27.166666666666668,0.05444444444444323,0.8515815085158055
KAB TOBA SAMOSIR,2023,SVR,28.0,24.8,10.239999999999995,11.428571428571425
KAB TOBA SAMOSIR,2023,Decision Tree,28.0,24.8,10.239999999999995,11.428571428571425
KAB TOBA SAMOSIR,2023,Random Forest,28.0,24.8,10.239999999999995,11.428571428571425
KOTA BINJAI,2023,SVR,19.4,-24.17099368264454,1898.4314904930504,224.59275094146673
KOTA BINJAI,2023,Decision Tree,19.4,18.7,0.489999999999999,3.6082474226804093
KOTA BINJAI,2023,Random Forest,19.4,19.7,0.09000000000000043,1.5463917525773232
KOTA GUNUNGSITOLI,2023,SVR,18.9,34.61943923532396,247.10076987304234,83.17163616573525
KOTA GUNUNGSITOLI,2023,Decision Tree,18.9,26.3,54.76000000000003,39.153439153439166
KOTA GUNUNGSITOLI,2023,Random Forest,18.9,20.566666666666666,2.7777777777777817,8.818342151675491
KOTA MEDAN,2023,SVR,5.8,17.379232128725338,134.0786166909051,199.64193325388513
KOTA MEDAN,2023,Decision Tree,5.8,15.4,92.16000000000003,165.51724137931038
KOTA MEDAN,2023,Random Forest,5.8,16.9,123.20999999999995,191.37931034482756
KOTA PADANGSIDIMPUAN,2023,SVR,26.1,24.34690887800181,3.073328482028881,6.716824222215297
KOTA PADANGSIDIMPUAN,2023,Decision Tree,26.1,28.8,7.2899999999999965,10.344827586206893
KOTA PADANGSIDIMPUAN,2023,Random Forest,26.1,29.900000000000002,14.440000000000005,14.559386973180077
KOTA PEMATANG SIANTAR,2023,SVR,7.7,13.67569353958766,35.708913279069705,77.60640960503456
KOTA PEMATANG SIANTAR,2023,Decision Tree,7.7,14.3,43.56000000000001,85.71428571428572
KOTA PEMATANG SIANTAR,2023,Random Forest,7.7,14.533333333333333,46.69444444444444,88.74458874458874
KOTA SIBOLGA,2023,SVR,10.6,18.180430424153062,57.46292541542538,71.51349456748173
KOTA SIBOLGA,2023,Decision Tree,10.6,25.8,231.04000000000002,143.39622641509436
KOTA SIBOLGA,2023,Random Forest,10.6,18.266666666666666,58.77777777777777,72.32704402515722
KOTA TANJUNG BALAI,2023,SVR,5.7,29.77709334153379,579.7064237769307,422.40514634269806
KOTA TANJUNG BALAI,2023,Decision Tree,5.7,26.9,449.44,371.92982456140345
KOTA TANJUNG BALAI,2023,Random Forest,5.7,26.633333333333336,438.2044444444446,367.25146198830413
KOTA TEBING TINGGI,2023,SVR,10.4,19.49289306634378,82.68070431596277,87.43166409945941
KOTA TEBING TINGGI,2023,Decision Tree,10.4,17.3,47.61000000000001,66.34615384615384
KOTA TEBING TINGGI,2023,Random Forest,10.4,18.066666666666666,58.77777777777777,73.71794871794872
